category_name,total_products,avg_price,avg_stars,total_reviews,total_bought_last_month,avg_popularity_score,best_seller_count
Kids' Play Trucks,2438,28.316952420016406,3.6136587366694015,0.0,65350.0,0.026804757998359314,0
Travel Duffel Bags,2401,70.95858392336527,3.9878384006663885,0.0,80950.0,0.035381091211995,2
"Nintendo DS Games, Consoles & Accessories",2367,27.553417828474863,3.5057879171947617,0.0,750.0,0.0011618081960287283,1
Ironing Products,2353,36.64945601359966,3.5412664683382915,0.0,336050.0,0.14791755206119847,6
Baby Strollers & Accessories,2321,69.80107281344249,3.686643688065489,0.0,210100.0,0.100861697544162,12
"Wii Games, Consoles & Accessories",2292,25.1705017452007,3.6240837696335078,0.0,2550.0,0.0019851657940663176,1
Diet & Sports Nutrition,2291,26.922143168921867,4.315189873417721,5236880.0,2297450.0,29.09109630810218,20
Fabric Decorating,2179,28.35701239100505,3.455713630105553,644366.0,67400.0,11.298121857556977,3
Baby Activity & Entertainment Products,2010,47.22009452736318,3.8270149253731343,264.0,269700.0,0.19750375064129555,6
Household Supplies,1942,16.563141091658085,4.545314109165808,0.0,4289000.0,2.261071060762101,51
Car Electronics & Accessories,1931,34.20863801139306,4.077938891765925,0.0,12700.0,0.008648368720870015,2
Finger Toys,1883,25.826240042485395,2.9702071163037704,0.0,9750.0,0.006240042485395645,1
Kids' Home Store,1870,29.9093743315508,4.475347593582888,3724355.0,210350.0,18.608681011472722,33
Rain Umbrellas,1774,28.67945885005637,3.6483089064261556,0.0,154200.0,0.08917700112739571,2
Electronic Components,1759,26.331586128482094,4.487720295622513,0.0,298600.0,0.23911313246162594,61
Tools & Home Improvement,1719,33.67268179173938,4.462652705061082,0.0,2143900.0,1.526410703897615,240
Travel Tote Bags,1716,27.617325174825176,4.002156177156177,0.0,52900.0,0.031993006993006994,1
Puppets & Puppet Theaters,1655,25.149909365558912,3.9917824773413897,0.0,42000.0,0.029003021148036254,3
Baby Stationery,1651,12.46358570563295,3.7564506359781946,0.0,5800.0,0.0035130224106602057,0
Legacy Systems,1488,34.9834811827957,4.146639784946236,0.0,6900.0,0.005981182795698925,1
Mac Games & Accessories,1477,42.91773188896411,3.740555179417739,0.0,3100.0,0.002098849018280298,0
Oils & Fluids,1458,48.41219478737997,3.707544581618656,0.0,72800.0,0.06090534979423868,8
Toilet Training Products,1403,19.324583036350678,3.610121168923735,0.0,204050.0,0.1568424803991447,8
"Slot Cars, Race Tracks & Accessories",1366,42.236800878477304,3.7825036603221083,337075.0,37200.0,12.30284243840347,1
Pregnancy & Maternity Products,1343,32.03755026061057,3.381310498883098,1493636.0,325350.0,15.315060908029606,7
Personal Care Products,1301,21.685926210607224,4.448731744811684,0.0,4003700.0,3.135818601076095,38
Messenger Bags,1244,47.15744372990354,3.863826366559486,0.0,20100.0,0.017765273311897107,1
"Nintendo 3DS & 2DS Consoles, Games & Accessories",1192,31.705209731543626,3.3880872483221474,0.0,750.0,0.0006291946308724832,0
"Sony PSP Games, Consoles & Accessories",1023,31.523714565004887,3.527761485826002,0.0,500.0,0.0004887585532746823,0
"Wii U Games, Consoles & Accessories",968,35.62689049586777,3.975103305785124,457968.0,12150.0,19.177754286909476,6
Suitcases,924,122.13813852813853,3.4915584415584413,0.0,17300.0,0.018722943722943725,0
Perfumes & Fragrances,882,31.36031746031746,3.7003401360544217,0.0,110500.0,0.13435374149659865,4
Automotive Paint & Paint Supplies,842,57.44695961995249,3.0994061757719713,0.0,15050.0,0.027375296912114017,4
Video Projectors,837,161.9984707287933,3.0870967741935487,0.0,8100.0,0.00967741935483871,0
Video Game Consoles & Accessories,770,28.50790909090909,4.025714285714286,0.0,4050.0,0.005259740259740259,0
Health & Household,724,15.295649171270718,4.567541436464088,0.0,6138000.0,8.62707182320442,54
"PlayStation Vita Games, Consoles & Accessories",593,41.97686340640809,3.8308600337268124,206370.0,3050.0,17.16666402028748,5
eBook Readers & Accessories,582,34.76668384879725,3.9249140893470793,0.0,200.0,0.0037800687285223372,1
Kids' Play Trains & Trams,526,25.583403041825093,4.015779467680609,0.0,12200.0,0.023193916349809888,0
Boys' Watches,492,18.324674796747967,3.5,242791.0,23800.0,14.62403618962092,1
Stationery & Gift Wrapping Supplies,456,13.468552631578946,4.392763157894737,0.0,122350.0,0.268311403508772,0
Kids' Play Tractors,455,50.60296703296703,3.572967032967033,174006.0,17450.0,13.631399377673324,2
Girls' Watches,447,19.489060402684565,3.348098434004474,0.0,10700.0,0.02841163310961969,1
Kids' Play Boats,438,113.8115296803653,0.7422374429223745,20647.0,3150.0,2.460408819542377,0
Girls' School Uniforms,302,18.673443708609273,4.082450331125828,0.0,7250.0,0.043874172185430466,3
